"category";"name";"manufacturer";"price";"is_active";"short_description";"image";"type";"processor_manufacturer";"freq";"memmory";"memmory_type";"screen";"video";"screen_dimension";"additionalCategories"
"Ноутбуки/Бюджетный";"Lenovo B570";"Lenovo";"345";"1";"Celeron / Pentium, 1500-2200 МГц, 2048-4096 Мб, 320-500 Гб, 15.6 дюйм, Intel GMA HD, DVD-RW, Wi-Fi, Bluetooth (опционально), 2.35 кг";"lenovob570.jpg";"laptop";"Celeron";"2200 МГц";"2048 Мб";"DDR3";"15.6 дюйм";"Intel GMA HD";"1366x768";"Ноутбуки"
"Ноутбуки/Бюджетный";"Lenovo G570";"Lenovo";"360";"1";"Celeron / Pentium, 1500-2200 МГц, 2048-4096 Мб, 320-500 Гб, 15.6 дюйм, ATI Radeon HD 6370M, DVD-RW, Wi-Fi, Bluetooth (опционально), 2.43 кг";"lenovog570.jpg";"laptop";"Celeron";"2200 МГц";"2048 Мб";"DDR3";"15.6 дюйм";"Intel GMA HD";"1366x768";"Ноутбуки"
"Ноутбуки/Бюджетный";"ASUS K53U";"Asus";"375";"1";"C-60 / E-240 / E-450, 1000-1650 МГц, 2048-4096 Мб, 320-500 Гб, 15.6 дюйм, DVD-RW, Wi-Fi, Bluetooth (опционально), 2.6 кг";"asusk53u.jpg";"laptop";"E-240";"1650 МГц";"2048 Мб";"DDR3";"15.6 дюйм";"Intel GMA HD";"1366x768";"Ноутбуки"
"Ноутбуки/Бюджетный";"ASUS X54C";"Asus";"370";"1";"Celeron / Pentium, 1500-2200 МГц, 2048-4096 Мб, 320-500 Гб, 15.6 дюйм, Intel HD Graphics 3000, DVD-RW, Wi-Fi, Bluetooth, 2.6 кг";"asusx54c.jpg";"laptop";"Celeron";"1500 МГц";"2048 Мб";"DDR3";"15.6 дюйм";"Intel HD Graphics 3000";"1366x768";"Ноутбуки"
"Ноутбуки/Бюджетный";"DELL INSPIRON N5050";"Dell";"380";"1";"Celeron, 1500-1700 МГц, 2048 Мб, 320-500 Гб, 15.6 дюйм, Intel HD Graphics 3000, DVD-RW, Wi-Fi, Bluetooth (опционально), 2.37 кг";"dell_Inspiron_N5050_B800_red_15.jpg";"laptop";"Celeron";"1700 МГц";"2048 Мб";"DDR3";"15.6 дюйм";"Intel HD Graphics 3000";"1366x768";"Ноутбуки"
"Ноутбуки/Бюджетный";"Fujitsu LIFEBOOK AH531";"Fujitsu";"395";"1";"Celeron / Pentium, 1500-2200 МГц, 2048 Мб, 320 Гб, 15.6 дюйм, Intel HD Graphics 3000, DVD-RW, Wi-Fi, Bluetooth, 2.5 кг";"FujitsuAH531.jpg";"laptop";"Celeron";"1700 МГц";"2048 Мб";"DDR3";"15.6 дюйм";"Intel HD Graphics 3000";"1366x768";"Ноутбуки"
"Ноутбуки/Игровой";"HP EliteBook 8560w";"HP";"3150";"1";"Core i7, 2500 МГц, 8192 Мб, 750 Гб, 15.6 дюйм, NVIDIA Quadro 2000M, BD-RE, Wi-Fi, Bluetooth, 3 кг";"hpelite8560w.jpg";"laptop";"Core i7";"2500 МГц";"8192 Мб";"DDR3";"15.6 дюйм";"NVIDIA Quadro 2000M";"1920x1080";"Ноутбуки"
"Ноутбуки/Игровой";"DELL ALIENWARE M17x";"Dell";"2850";"1";"Core i7, 2200-2400 МГц, 8192-16384 Мб, 750-1500 Гб, 17 дюйм, AMD Radeon HD 6990M, BD-RE / Blu-Ray / DVD-RW, Wi-Fi, Bluetooth, 5.3 кг";"DellAlienwareM17x.jpg";"laptop";"Core i7";"2700 МГц";"8192 Мб";"DDR3";"15.6 дюйм";"AMD Radeon HD 6990M";"1920x1200";"Ноутбуки"
"Ноутбуки/Игровой";"Apple MacBook Pro 15 Late 2011";"Apple";"2600";"1";"Core i7, 2200-2400 МГц, 4096 Мб, 500-750 Гб, 15.4 дюйм, ATI Radeon HD 6750M / ATI Radeon HD 6770М, DVD-RW, Wi-Fi, Bluetooth, 2.54 кг";"apple-macbook-pro-late-2011.jpg";"laptop";"Core i7";"2500 МГц";"4096 Мб";"DDR3";"15.4 дюйм";"ATI Radeon HD 6770М";"1920x1080";"Ноутбуки"
"Ноутбуки/Игровой";"Lenovo THINKPAD W520";"Lenovo";"2450";"1";"Core i7 / Core i7 Extreme, 2000-2700 МГц, 4096-8192 Мб, 160-580 Гб, 15.6 дюйм, NVIDIA Quadro 2000M, DVD-RW, Wi-Fi, Bluetooth, 2.45 кг";"W520.jpg";"laptop";"Core i7";"2700 МГц";"4096 Мб";"DDR3";"15.6 дюйм";"NVIDIA Quadro 2000M";"1920x1080";"Ноутбуки"
"Ноутбуки/Игровой";"Sony VAIO VPC-F13S8R";"Sony";"1950";"1";"Core i5, 2660 МГц, 4096 Мб, 640 Гб, 16.4 дюйм, NVIDIA GeForce GT 425M, Blu-Ray, Wi-Fi, Bluetooth, 3.1 кг";"sony_vaio_f1.jpg";"laptop";"Core i5";"2660 МГц";"4096 Мб";"DDR3";"16.4 дюйм";"NVIDIA GeForce GT 425M";"1920x1080";"Ноутбуки"
"Ноутбуки/Игровой";"Acer ASPIRE 5943G-7748G75TWiss";"Acer";"2350";"1";"Core i7, 1730 МГц, 8192 Мб, 750 Гб, 15.6 дюйм, ATI Mobility Radeon HD 5850, BD-RE, Wi-Fi, Bluetooth, 3.3 кг";"5943G.jpg";"laptop";"Core i7";"1730 МГц";"8192 Мб";"DDR3";"15.6 дюйм";"ATI Mobility Radeon HD 5850";"1920x1080";"Ноутбуки"
